category,speciesCode,comName,sciName,familyComName,familySciName,order,taxonOrder
species,swathr,Swainson's Thrush,Catharus ustulatus,Thrushes and Allies,Turdidae,Passeriformes,28072
species,swaspa,Swamp Sparrow,Melospiza georgiana,New World Sparrows,Passerellidae,Passeriformes,33033
species,tenwar,Tennessee Warbler,Leiothlypis peregrina,New World Warblers,Parulidae,Passeriformes,33695
species,towsol,Townsend's Solitaire,Myadestes townsendi,Thrushes and Allies,Turdidae,Passeriformes,27918
species,treswa,Tree Swallow,Tachycineta bicolor,Swallows,Hirundinidae,Passeriformes,23834
species,truswa,Trumpeter Swan,Cygnus buccinator,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,370
species,tuftit,Tufted Titmouse,Baeolophus bicolor,"Tits, Chickadees, and Titmice",Paridae,Passeriformes,21936
species,tunswa,Tundra Swan,Cygnus columbianus,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,372
species,turvul,Turkey Vulture,Cathartes aura,New World Vultures,Cathartidae,Cathartiformes,7720
species,uplsan,Upland Sandpiper,Bartramia longicauda,Sandpipers and Allies,Scolopacidae,Charadriiformes,5949
species,veery,Veery,Catharus fuscescens,Thrushes and Allies,Turdidae,Passeriformes,28061
species,vesspa,Vesper Sparrow,Pooecetes gramineus,New World Sparrows,Passerellidae,Passeriformes,32935
species,virrai,Virginia Rail,Rallus limicola,"Rails, Gallinules, and Coots",Rallidae,Gruiformes,5240
species,warvir,Warbling Vireo,Vireo gilvus,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,Passeriformes,19045
species,whbnut,White-breasted Nuthatch,Sitta carolinensis,Nuthatches,Sittidae,Passeriformes,26640
species,whcspa,White-crowned Sparrow,Zonotrichia leucophrys,New World Sparrows,Passerellidae,Passeriformes,32905
species,whevir,White-eyed Vireo,Vireo griseus,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,Passeriformes,18966
species,whrsan,White-rumped Sandpiper,Calidris fuscicollis,Sandpipers and Allies,Scolopacidae,Charadriiformes,6158
species,whtspa,White-throated Sparrow,Zonotrichia albicollis,New World Sparrows,Passerellidae,Passeriformes,32919
species,whwcro,White-winged Crossbill,Loxia leucoptera,"Finches, Euphonias, and Allies",Fringillidae,Passeriformes,32263
species,whwsco2,White-winged Scoter,Melanitta deglandi,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,705
species,whocra,Whooping Crane,Grus americana,Cranes,Gruidae,Gruiformes,5662
species,wiltur,Wild Turkey,Meleagris gallopavo,"Pheasants, Grouse, and Allies",Phasianidae,Galliformes,1242
species,willet1,Willet,Tringa semipalmata,Sandpipers and Allies,Scolopacidae,Charadriiformes,6085
species,wilfly,Willow Flycatcher,Empidonax traillii,Tyrant Flycatchers,Tyrannidae,Passeriformes,16785
species,wilpha,Wilson's Phalarope,Phalaropus tricolor,Sandpipers and Allies,Scolopacidae,Charadriiformes,6057
