category,speciesCode,comName,sciName,familyComName,familySciName,order,taxonOrder
species,moudov,Mourning Dove,Zenaida macroura,Pigeons and Doves,Columbidae,Columbiformes,2373
species,mouwar,Mourning Warbler,Geothlypis philadelphia,New World Warblers,Parulidae,Passeriformes,33729
species,musduc,Muscovy Duck,Cairina moschata,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,431
species,mutswa,Mute Swan,Cygnus olor,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,365
species,naswar,Nashville Warbler,Leiothlypis ruficapilla,New World Warblers,Parulidae,Passeriformes,33704
species,nstspa,Nelson's Sparrow,Ammospiza nelsoni,New World Sparrows,Passerellidae,Passeriformes,32950
species,norbob,Northern Bobwhite,Colinus virginianus,New World Quail,Odontophoridae,Galliformes,999
species,norcar,Northern Cardinal,Cardinalis cardinalis,Cardinals and Allies,Cardinalidae,Passeriformes,34224
species,norfli,Northern Flicker,Colaptes auratus,Woodpeckers,Picidae,Piciformes,11785
species,norhar2,Northern Harrier,Circus hudsonius,"Hawks, Eagles, and Kites",Accipitridae,Accipitriformes,8228
species,houwre,Northern House Wren,Troglodytes aedon,Wrens,Troglodytidae,Passeriformes,26942
species,normoc,Northern Mockingbird,Mimus polyglottos,Mockingbirds and Thrashers,Mimidae,Passeriformes,27870
species,norpar,Northern Parula,Setophaga americana,New World Warblers,Parulidae,Passeriformes,33784
species,norpin,Northern Pintail,Anas acuta,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,571
species,nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,Swallows,Hirundinidae,Passeriformes,23876
species,nswowl,Northern Saw-whet Owl,Aegolius acadicus,Owls,Strigidae,Strigiformes,9202
species,norsho,Northern Shoveler,Spatula clypeata,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,483
species,norshr4,Northern Shrike,Lanius borealis,Shrikes,Laniidae,Passeriformes,20872
species,norwat,Northern Waterthrush,Parkesia noveboracensis,New World Warblers,Parulidae,Passeriformes,33676
species,olsfly,Olive-sided Flycatcher,Contopus cooperi,Tyrant Flycatchers,Tyrannidae,Passeriformes,16723
species,orcwar,Orange-crowned Warbler,Leiothlypis celata,New World Warblers,Parulidae,Passeriformes,33696
species,orcori,Orchard Oriole,Icterus spurius,Troupials and Allies,Icteridae,Passeriformes,33401
species,osprey,Osprey,Pandion haliaetus,Osprey,Pandionidae,Accipitriformes,7737
species,ovenbi1,Ovenbird,Seiurus aurocapilla,New World Warblers,Parulidae,Passeriformes,33669
species,palwar,Palm Warbler,Setophaga palmarum,New World Warblers,Parulidae,Passeriformes,33863
species,pecsan,Pectoral Sandpiper,Calidris melanotos,Sandpipers and Allies,Scolopacidae,Charadriiformes,6163
species,perfal,Peregrine Falcon,Falco peregrinus,Falcons and Caracaras,Falconidae,Falconiformes,11997
species,phivir,Philadelphia Vireo,Vireo philadelphicus,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,Passeriformes,19044
species,pibgre,Pied-billed Grebe,Podilymbus podiceps,Grebes,Podicipedidae,Podicipediformes,6776
